Open_Time,Open,High,Low,Close,Volume
2024-07-01 00:00:00,62772.01,62944.0,62573.32,62931.99,987.12645
2024-07-01 01:00:00,62931.98,63730.0,62901.71,63640.82,2570.40171
2024-07-01 02:00:00,63640.81,63818.33,63288.53,63435.86,2037.33231
2024-07-01 03:00:00,63435.86,63536.47,63340.0,63437.69,1264.46281
2024-07-01 04:00:00,63437.69,63466.92,63223.2,63279.79,517.1528
2024-07-01 05:00:00,63279.79,63457.47,63262.0,63432.94,418.26492
2024-07-01 06:00:00,63432.94,63464.74,63293.75,63404.0,526.6083
2024-07-01 07:00:00,63403.99,63432.0,63260.71,63277.84,486.84295
2024-07-01 08:00:00,63277.84,63314.99,62836.47,62923.91,1388.89036
2024-07-01 09:00:00,62923.91,62997.98,62789.16,62938.97,731.18198
2024-07-01 10:00:00,62938.97,62977.99,62781.05,62852.24,615.27621
2024-07-01 11:00:00,62852.24,62858.0,62593.07,62662.09,1009.76623
2024-07-01 12:00:00,62662.09,62900.0,62641.99,62882.0,684.19991
2024-07-01 13:00:00,62882.0,63081.11,62497.2,62685.27,1326.77132
2024-07-01 14:00:00,62685.27,62944.0,62610.35,62826.02,1425.79805
2024-07-01 15:00:00,62826.02,63166.11,62815.63,63132.9,1077.93682
2024-07-01 16:00:00,63132.9,63338.12,62966.77,63119.33,1324.97385
2024-07-01 17:00:00,63119.33,63697.66,63056.83,63697.66,1361.75841
2024-07-01 18:00:00,63697.66,63861.76,63438.45,63649.99,1532.83742
2024-07-01 19:00:00,63649.99,63649.99,63071.36,63226.78,1260.38786
2024-07-01 20:00:00,63226.78,63423.48,63162.06,63292.53,543.30696
2024-07-01 21:00:00,63292.53,63292.53,63036.82,63130.01,342.5251
2024-07-01 22:00:00,63130.01,63162.5,62804.6,62975.1,658.76429
2024-07-01 23:00:00,62975.1,63037.18,62834.0,62899.99,454.53836
2024-07-02 00:00:00,62900.0,62988.0,62787.42,62926.65,395.65337
2024-07-02 01:00:00,62926.65,62960.86,62815.71,62926.0,299.28933
2024-07-02 02:00:00,62926.0,63127.1,62924.0,62999.56,514.46846
2024-07-02 03:00:00,62999.56,63288.83,62991.03,63138.67,469.50682
2024-07-02 04:00:00,63138.68,63245.8,63038.01,63038.01,532.00551
2024-07-02 05:00:00,63038.02,63094.73,63002.0,63024.0,265.73488
2024-07-02 06:00:00,63024.0,63048.86,62818.72,62866.0,698.37544
2024-07-02 07:00:00,62866.01,62880.0,62580.0,62629.99,1022.41571
2024-07-02 08:00:00,62630.0,62746.55,62401.23,62670.01,1141.20358
2024-07-02 09:00:00,62670.01,62795.68,62601.18,62650.01,1695.32553
2024-07-02 10:00:00,62650.01,62801.05,62485.63,62715.98,787.71878
2024-07-02 11:00:00,62715.98,62866.2,62616.28,62832.01,514.78225
2024-07-02 12:00:00,62832.01,63042.91,62723.79,62878.45,673.25581
2024-07-02 13:00:00,62878.45,63152.0,62517.81,62626.92,1356.82371
2024-07-02 14:00:00,62626.92,62730.0,61867.29,62035.43,2827.22625
2024-07-02 15:00:00,62035.43,62160.04,61823.74,61948.08,1109.28372
2024-07-02 16:00:00,61948.08,62026.45,61806.28,61920.89,889.07011
2024-07-02 17:00:00,61920.9,62152.2,61888.0,62147.98,462.22418
2024-07-02 18:00:00,62147.99,62368.81,62141.81,62330.01,814.72882
2024-07-02 19:00:00,62330.01,62367.51,61884.01,61939.1,675.61066
2024-07-02 20:00:00,61939.1,62080.73,61875.55,62012.01,458.46831
2024-07-02 21:00:00,62012.01,62089.61,61903.41,61958.02,440.44409
2024-07-02 22:00:00,61958.03,62113.63,61958.02,62090.01,298.89309
2024-07-02 23:00:00,62090.01,62181.24,62078.53,62135.47,230.61034
2024-07-03 00:00:00,62135.46,62285.94,62093.36,62094.02,364.83454
2024-07-03 01:00:00,62094.02,62218.0,61228.8,61617.91,1595.13007
2024-07-03 02:00:00,61617.9,61617.91,61245.96,61362.0,1459.75063
2024-07-03 03:00:00,61362.01,61371.19,60600.0,60987.99,1725.86161
2024-07-03 04:00:00,60988.0,60988.0,60816.0,60883.9,581.25951
2024-07-03 05:00:00,60883.89,61121.52,60859.53,61121.52,574.89166
2024-07-03 06:00:00,61121.52,61181.84,60976.56,61014.0,589.70734
2024-07-03 07:00:00,61014.0,61029.39,60845.01,60870.01,610.74449
2024-07-03 08:00:00,60870.01,60978.19,60390.0,60497.59,2958.54949
2024-07-03 09:00:00,60497.6,60667.18,60320.0,60606.01,1299.50781
2024-07-03 10:00:00,60606.02,60618.0,59600.0,60383.99,3193.58654
2024-07-03 11:00:00,60384.0,60480.0,60112.0,60386.01,1394.4349
2024-07-03 12:00:00,60386.01,60386.01,59921.17,60028.01,2089.2335
2024-07-03 13:00:00,60028.01,60640.1,59752.29,60589.99,2204.25102
2024-07-03 14:00:00,60590.0,60740.2,60263.09,60281.15,1443.10295
2024-07-03 15:00:00,60281.16,60464.0,59972.72,60186.25,1463.38751
2024-07-03 16:00:00,60186.25,60655.56,60100.0,60495.98,1631.44953
2024-07-03 17:00:00,60495.99,60515.99,60200.0,60371.34,723.54543
2024-07-03 18:00:00,60371.34,60446.06,60240.0,60248.01,652.73398
2024-07-03 19:00:00,60248.0,60248.0,59666.0,59671.1,1926.2088
2024-07-03 20:00:00,59671.11,59871.1,59581.71,59609.26,1248.26735
2024-07-03 21:00:00,59609.25,60340.0,59400.0,60247.59,1489.42615
2024-07-03 22:00:00,60247.58,60371.57,60125.49,60316.01,597.49829
2024-07-03 23:00:00,60316.02,60374.82,60208.57,60208.58,342.74817
2024-07-04 00:00:00,60208.57,60475.91,60208.57,60430.01,772.75767
2024-07-04 01:00:00,60430.01,60498.19,58444.0,58561.1,5938.30437
2024-07-04 02:00:00,58561.1,59106.84,57800.01,58972.13,5843.69019
2024-07-04 03:00:00,58972.13,59155.8,58815.94,59102.0,937.02902
2024-07-04 04:00:00,59102.0,59150.0,58724.98,58968.36,794.32045
2024-07-04 05:00:00,58968.37,59036.0,58865.27,58902.0,622.79698
2024-07-04 06:00:00,58902.0,59076.18,58535.8,58795.99,1422.51266
2024-07-04 07:00:00,58796.0,58857.99,58104.0,58219.99,2155.52292
2024-07-04 08:00:00,58219.99,58506.18,57238.68,57688.46,4505.25499
2024-07-04 09:00:00,57688.46,57873.53,56952.0,57748.0,5315.27006
2024-07-04 10:00:00,57748.01,57952.95,57427.71,57946.43,1933.09234
2024-07-04 11:00:00,57946.43,58118.96,57680.01,57761.94,1486.45328
2024-07-04 12:00:00,57761.95,57761.95,57161.55,57247.98,1939.81743
2024-07-04 13:00:00,57247.98,57504.38,56771.0,57420.02,4993.42892
2024-07-04 14:00:00,57420.02,57539.05,56853.77,57450.25,2342.16352
2024-07-04 15:00:00,57450.25,58350.19,57356.78,58140.0,2842.22538
2024-07-04 16:00:00,58140.0,58397.6,57752.27,58304.59,1571.84699
2024-07-04 17:00:00,58304.59,58383.99,58100.0,58240.0,1092.21756
2024-07-04 18:00:00,58239.99,58370.0,57938.0,58168.0,1121.46865
2024-07-04 19:00:00,58168.0,58676.24,58141.66,58283.62,1223.74873
2024-07-04 20:00:00,58283.62,58358.99,58130.01,58358.99,556.15671
2024-07-04 21:00:00,58358.99,58647.22,58288.33,58494.01,536.35292
2024-07-04 22:00:00,58494.0,58813.13,58000.0,58038.84,1145.55546
2024-07-04 23:00:00,58038.84,58112.84,56866.0,57050.01,3476.78556
